term,stem,count,x,y,z,x,y,sample_size,ratio,google_w2v_x,google_w2v_y,,180,260
streaming,stream,4,,,,,,1000,0.004,-0.131203021,-0.4767715,,,
socialists,socialist,4,,,,,,1000,0.004,0.055935581,0.426661131,,,
singh,singh,4,,,,,,1000,0.004,1.607484101,0.126623224,,,
shiv,shiv,4,,,,,,1000,0.004,0.300066026,0.633908915,,,
sena,sena,4,,,,,,1000,0.004,0.985912369,0.636342523,,,
scored,score,4,,,,,,1000,0.004,-0.78642985,0.979550931,,,
scientists,scientist,4,,,,,,1000,0.004,-0.600746614,-0.157840502,,,
rs,rs,4,,,,,,1000,0.004,1.287403438,-0.025572187,,,
rouge,roug,4,,,,,,1000,0.004,0.415486953,0.12353141,,,
robert,robert,4,,,,,,1000,0.004,2.285553061,0.091315477,,,
rivals,rival,4,,,,,,1000,0.004,-0.647437972,0.109698273,,,
risks,risk,4,,,,,,1000,0.004,-0.655983891,-0.645121938,,,
relegates,releg,4,,,,,,1000,0.004,-0.078034366,-0.283934139,,,
reforms,reform,4,,,,,,1000,0.004,-0.79401362,-0.144382845,,,
rainfall,rainfal,4,,,,,,1000,0.004,-0.725868948,0.688194787,,,
programme,programm,4,,,,,,1000,0.004,,,,,
proceedings,proceed,4,,,,,,1000,0.004,-0.603361352,0.134195472,,,
pittsburgh,pittsburgh,4,,,,,,1000,0.004,1.501048935,-0.042632797,,,
pilgrims,pilgrim,4,,,,,,1000,0.004,-0.461825957,0.543202521,,,
pesticide,pesticid,4,,,,,,1000,0.004,-0.522200064,0.194571755,,,
partnership,partnership,4,,,,,,1000,0.004,-0.87924332,-0.753390607,,,
organisations,organis,4,,,,,,1000,0.004,,,,,
opinion,opinion,4,,,,,,1000,0.004,-0.334517801,0.026760582,,,
ohio,ohio,4,,,,,,1000,0.004,2.251147204,-0.382265699,,,
offender,offend,4,,,,,,1000,0.004,-0.425246379,0.551968569,,,
nsw,nsw,4,,,,,,1000,0.004,1.014889323,0.063798842,,,
nomination,nomin,4,,,,,,1000,0.004,-0.81774981,0.414433052,,,
newton,newton,4,,,,,,1000,0.004,1.199190412,0.260144386,,,
newsom,newsom,4,,,,,,1000,0.004,,,,,
nevada,nevada,4,,,,,,1000,0.004,1.297916942,-0.328361668,,,
nbc,nbc,4,,,,,,1000,0.004,2.030041177,-0.264649978,,,
nasdaq,nasdaq,4,,,,,,1000,0.004,0.303317348,-1.005782695,,,
modi,modi,4,,,,,,1000,0.004,1.207141689,0.038770896,,,
martin,martin,4,,,,,,1000,0.004,1.569001783,0.039420268,,,
margin,margin,4,,,,,,1000,0.004,-0.683795445,-0.042783781,,,
managing,manag,4,,,,,,1000,0.004,-0.766583948,-0.505518658,,,
links,link,4,,,,,,1000,0.004,-0.245237117,-0.617770019,,,
kelly,kelli,4,,,,,,1000,0.004,1.857233075,0.273347967,,,
japan,japan,4,,,,,,1000,0.004,1.996655459,-0.554954827,,,
iran,iran,4,,,,,,1000,0.004,1.742135432,-0.136803464,,,
integrated,integr,4,,,,,,1000,0.004,-0.497229685,-1.065394361,,,
institute,institut,4,,,,,,1000,0.004,-0.629848647,-0.300278858,,,
instagram,instagram,4,,,,,,1000,0.004,,,,,
insisting,insist,4,,,,,,1000,0.004,-0.531456177,0.007220032,,,
injuries,injuri,4,,,,,,1000,0.004,-0.65037616,0.68946866,,,
indian,indian,4,,,,,,1000,0.004,1.747589757,-0.284159761,,,
immunotherapy,immunotherapi,4,,,,,,1000,0.004,-0.759161041,-0.03256408,,,
hospitals,hospit,4,,,,,,1000,0.004,-0.701440255,-0.088624301,,,
holiday,holiday,4,,,,,,1000,0.004,-0.585495051,-0.013885101,,,
haley,haley,4,,,,,,1000,0.004,0.881749512,0.250634479,,,
greenland,greenland,4,,,,,,1000,0.004,-0.120917274,-0.078727879,,,
gap,gap,4,,,,,,1000,0.004,-0.678250445,0.024445606,,,
freedom,freedom,4,,,,,,1000,0.004,-0.363114302,0.059938443,,,
fraud,fraud,4,,,,,,1000,0.004,-0.470569674,-0.211158137,,,
founders,founder,4,,,,,,1000,0.004,-0.732676217,-0.433148951,,,
footage,footag,4,,,,,,1000,0.004,-0.465970133,0.077602284,,,
