term,stem,count,x,y,z,x,y,sample_size,ratio,google_w2v_x,google_w2v_y,,180,260
producer,produc,2,,,,,,1000,0.002,-0.659238483,-0.26079328,,,
probe,probe,2,,,,,,1000,0.002,-0.763195843,-0.147470042,,,
pro,pro,2,,,,,,1000,0.002,-0.210555601,0.260035779,,,
principals,princip,2,,,,,,1000,0.002,-0.793438608,-0.031915559,,,
princeton,princeton,2,,,,,,1000,0.002,0.608109381,-0.157988499,,,
prince,princ,2,,,,,,1000,0.002,-0.236368774,0.586280808,,,
pretenders,pretend,2,,,,,,1000,0.002,-0.065876239,0.478361831,,,
presidency,presid,2,,,,,,1000,0.002,-0.640705477,0.514058535,,,
premium,premium,2,,,,,,1000,0.002,-0.583323111,-0.733331894,,,
praise,prais,2,,,,,,1000,0.002,-0.641141662,0.185271645,,,
potentially,potenti,2,,,,,,1000,0.002,-0.641049231,-0.438084728,,,
potent,potent,2,,,,,,1000,0.002,-0.519618424,-0.016490559,,,
postal,postal,2,,,,,,1000,0.002,-0.474754833,0.046855591,,,
posed,pose,2,,,,,,1000,0.002,-0.670831964,-0.084347365,,,
portal,portal,2,,,,,,1000,0.002,-0.200380606,-0.967448384,,,
pomerantz,pomerantz,2,,,,,,1000,0.002,,,,,
pollution,pollut,2,,,,,,1000,0.002,-0.435093054,-0.028364009,,,
poll,poll,2,,,,,,1000,0.002,-0.671845689,0.100959108,,,
polanski,polanski,2,,,,,,1000,0.002,,,,,
podcast,podcast,2,,,,,,1000,0.002,-0.124605897,-0.611427706,,,
pllc,pllc,2,,,,,,1000,0.002,,,,,
plaintiffs,plaintiff,2,,,,,,1000,0.002,-0.681979627,0.092291717,,,
pitcher,pitcher,2,,,,,,1000,0.002,-0.543865401,1.2725347,,,
pinochet,pinochet,2,,,,,,1000,0.002,,,,,
piloting,pilot,2,,,,,,1000,0.002,-0.710775094,-0.316386292,,,
pillars,pillar,2,,,,,,1000,0.002,-0.56274879,-0.36943841,,,
picking,pick,2,,,,,,1000,0.002,-0.433612042,-0.008243547,,,
physicians,physician,2,,,,,,1000,0.002,-0.724833445,-0.142008719,,,
photographed,photograph,2,,,,,,1000,0.002,-0.515570584,0.367983486,,,
petition,petit,2,,,,,,1000,0.002,-0.60602623,0.154593732,,,
pete,pete,2,,,,,,1000,0.002,1.882663358,0.506178772,,,
persistent,persist,2,,,,,,1000,0.002,-0.476695665,-0.218598561,,,
perpetrated,perpetr,2,,,,,,1000,0.002,-0.407511763,0.086035584,,,
permanente,permanent,2,,,,,,1000,0.002,0.420187635,-0.354305401,,,
peripheral,peripher,2,,,,,,1000,0.002,-0.289200889,-0.405764724,,,
pep,pep,2,,,,,,1000,0.002,-0.272191003,0.154512264,,,
pelosi,pelosi,2,,,,,,1000,0.002,1.316699865,0.318435446,,,
peaked,peak,2,,,,,,1000,0.002,-0.405432845,-0.16665981,,,
payroll,payrol,2,,,,,,1000,0.002,-0.676821111,-0.068612843,,,
pawar's,pawar,2,,,,,,1000,0.002,,,,,
paul,paul,2,,,,,,1000,0.002,2.203545505,0.304662555,,,
patan,patan,2,,,,,,1000,0.002,,,,,
password,password,2,,,,,,1000,0.002,-0.045121445,-0.210796062,,,
passer,passer,2,,,,,,1000,0.002,-0.321739209,1.250843649,,,
participated,particip,2,,,,,,1000,0.002,-0.752691021,-0.293821419,,,
pantry,pantri,2,,,,,,1000,0.002,-0.72850457,0.490311901,,,
panthers,panther,2,,,,,,1000,0.002,0.174864632,0.598692116,,,
panel's,panel,2,,,,,,1000,0.002,-0.374824984,-0.529192205,,,
palace's,palac,2,,,,,,1000,0.002,-0.264322718,0.332804186,,,
pact,pact,2,,,,,,1000,0.002,-0.617891849,-0.230319988,,,
pa,pa,2,,,,,,1000,0.002,1.034350497,-0.024276662,,,
oxide,oxid,2,,,,,,1000,0.002,-0.170960355,-0.090522648,,,
outbreaks,outbreak,2,,,,,,1000,0.002,-0.605885793,-0.011436673,,,
out-of-control,out-of-control,2,,,,,,1000,0.002,,,,,
ottawa,ottawa,2,,,,,,1000,0.002,1.096609528,-0.328290729,,,
otamendi,otamendi,2,,,,,,1000,0.002,,,,,
ostensibly,ostens,2,,,,,,1000,0.002,-0.401655016,-0.163032818,,,
originating,origin,2,,,,,,1000,0.002,-0.37628704,-0.669275694,,,
ordinance,ordin,2,,,,,,1000,0.002,-0.561390842,0.529871686,,,
opted,opt,2,,,,,,1000,0.002,-0.5283397,-0.150491478,,,
opponent,oppon,2,,,,,,1000,0.002,-0.647994794,0.982595718,,,
operaházból,operaház,2,,,,,,1000,0.002,,,,,
openings,open,2,,,,,,1000,0.002,-0.329769138,-0.274311094,,,
oncology,oncolog,2,,,,,,1000,0.002,-0.573720146,-0.298919761,,,
omaha's,omaha,2,,,,,,1000,0.002,,,,,
om,om,2,,,,,,1000,0.002,1.054565299,-0.270277302,,,
olympic,olymp,2,,,,,,1000,0.002,0.995614515,0.091452312,,,
oilers,oiler,2,,,,,,1000,0.002,0.228543535,0.06092965,,,
offset,offset,2,,,,,,1000,0.002,-0.688735065,-0.606344583,,,
nottingham,nottingham,2,,,,,,1000,0.002,0.245315408,-0.053090416,,,
notifying,notifi,2,,,,,,1000,0.002,-0.806081506,-0.462018612,,,
notifications,notif,2,,,,,,1000,0.002,-0.336157831,-0.777012321,,,
northwest,northwest,2,,,,,,1000,0.002,-0.472446479,0.037516971,,,
newsletter,newslett,2,,,,,,1000,0.002,-0.430952922,-0.649626852,,,
newcomers,newcom,2,,,,,,1000,0.002,-0.656031342,0.22095415,,,
new-look,new-look,2,,,,,,1000,0.002,-0.354454883,-0.043787489,,,
nelson,nelson,2,,,,,,1000,0.002,0.803536112,0.689547114,,,
negros,negro,2,,,,,,1000,0.002,0.280944081,0.356681038,,,
nebraska,nebraska,2,,,,,,1000,0.002,1.086569019,-0.087938727,,,
nar,nar,2,,,,,,1000,0.002,1.08915038,0.113731104,,,
mulvaney,mulvaney,2,,,,,,1000,0.002,,,,,
msnbc's,msnbc,2,,,,,,1000,0.002,,,,,
mrt,mrt,2,,,,,,1000,0.002,,,,,
motto,motto,2,,,,,,1000,0.002,-0.255442804,0.015335343,,,
mother's,mother,2,,,,,,1000,0.002,-0.451436809,0.225781135,,,
mosque,mosqu,2,,,,,,1000,0.002,-0.414148005,0.742360537,,,
monster,monster,2,,,,,,1000,0.002,-0.085963121,0.37785996,,,
monnier,monnier,2,,,,,,1000,0.002,,,,,
monika,monika,2,,,,,,1000,0.002,,,,,
mon,mon,2,,,,,,1000,0.002,1.444745161,0.102527673,,,
mohammed,moham,2,,,,,,1000,0.002,1.087816208,0.299392614,,,
mnangagwa's,mnangagwa,2,,,,,,1000,0.002,,,,,
mls,mls,2,,,,,,1000,0.002,0.928709131,-0.030836978,,,
mladenovic,mladenov,2,,,,,,1000,0.002,,,,,
mitigate,mitig,2,,,,,,1000,0.002,-0.785283506,-0.701395161,,,
milwaukee,milwauke,2,,,,,,1000,0.002,1.513158728,-0.025259967,,,
miguel,miguel,2,,,,,,1000,0.002,0.988472864,0.102767737,,,
midfielder,midfield,2,,,,,,1000,0.002,-0.633686499,1.454127358,,,
microenvironment,microenviron,2,,,,,,1000,0.002,-0.591178743,0.047445563,,,
mice,mice,2,,,,,,1000,0.002,-0.34319047,0.081950041,,,
miami,miami,2,,,,,,1000,0.002,2.157031033,-0.159973304,,,
metropolis,metropoli,2,,,,,,1000,0.002,-0.430780678,0.132013685,,,
meter,meter,2,,,,,,1000,0.002,-0.287647886,0.308232089,,,
mets,met,2,,,,,,1000,0.002,1.422157688,0.007583776,,,
messi's,messi,2,,,,,,1000,0.002,,,,,
mercy,merci,2,,,,,,1000,0.002,-0.241897435,0.413679268,,,
melbourne,melbourn,2,,,,,,1000,0.002,1.662066676,-0.077892385,,,
mcmansions,mcmansion,2,,,,,,1000,0.002,,,,,
max,max,2,,,,,,1000,0.002,0.502485682,-0.12103083,,,
matt,matt,2,,,,,,1000,0.002,1.404588318,0.221312351,,,
matchup,matchup,2,,,,,,1000,0.002,-0.814618236,0.986419569,,,
massacre,massacr,2,,,,,,1000,0.002,-0.343878663,0.763450185,,,
marina,marina,2,,,,,,1000,0.002,-0.504676112,0.337842952,,,
marijuana,marijuana,2,,,,,,1000,0.002,-0.395197156,0.544208868,,,
mallards,mallard,2,,,,,,1000,0.002,-0.023278635,0.937531906,,,
mall,mall,2,,,,,,1000,0.002,-0.618935739,0.221372434,,,
malaysia,malaysia,2,,,,,,1000,0.002,2.144236571,-0.733592056,,,
majors,major,2,,,,,,1000,0.002,-0.507757301,0.059880119,,,
maharashtra,maharashtra,2,,,,,,1000,0.002,0.877355537,-0.042513031,,,
lynda,lynda,2,,,,,,1000,0.002,,,,,
luis,lui,2,,,,,,1000,0.002,1.002833136,0.321474417,,,
longtime,longtim,2,,,,,,1000,0.002,-0.832654906,-0.034712947,,,
locations,locat,2,,,,,,1000,0.002,-0.652641937,-0.680813203,,,
llc,llc,2,,,,,,1000,0.002,0.540007485,-0.93406628,,,
listings,list,2,,,,,,1000,0.002,-0.226650046,-0.848095402,,,
lionel,lionel,2,,,,,,1000,0.002,0.288140408,-0.087798425,,,
lion,lion,2,,,,,,1000,0.002,-0.325366166,0.263211749,,,
lic,lic,2,,,,,,1000,0.002,1.108242838,-0.444707897,,,
liar,liar,2,,,,,,1000,0.002,0.078336951,0.891934584,,,
legalization,legal,2,,,,,,1000,0.002,-0.30267333,0.015038415,,,
leaked,leak,2,,,,,,1000,0.002,-0.343295929,-0.267209787,,,
leafs,leaf,2,,,,,,1000,0.002,0.553268541,0.258332871,,,
lawrence,lawrenc,2,,,,,,1000,0.002,1.52573596,0.205982985,,,
laporte,laport,2,,,,,,1000,0.002,,,,,
lam,lam,2,,,,,,1000,0.002,0.265418224,0.712504064,,,
kyzylorda,kyzylorda,2,,,,,,1000,0.002,,,,,
kuntin,kuntin,2,,,,,,1000,0.002,,,,,
kratz,kratz,2,,,,,,1000,0.002,,,,,
kong,kong,2,,,,,,1000,0.002,1.097055168,0.14142671,,,
knocks,knock,2,,,,,,1000,0.002,-0.312500135,0.47182658,,,
kmph,kmph,2,,,,,,1000,0.002,0.128902575,0.476448316,,,
klaasen,klaasen,2,,,,,,1000,0.002,,,,,
kiwi,kiwi,2,,,,,,1000,0.002,0.174468752,0.130901821,,,
kills,kill,2,,,,,,1000,0.002,-0.391897233,0.537429425,,,
kick,kick,2,,,,,,1000,0.002,-0.411912679,0.282811572,,,
kent,kent,2,,,,,,1000,0.002,1.201777437,0.132952981,,,
kelsea,kelsea,2,,,,,,1000,0.002,,,,,
kate,kate,2,,,,,,1000,0.002,1.893459199,0.526206495,,,
kashmir's,kashmir,2,,,,,,1000,0.002,,,,,
justices,justic,2,,,,,,1000,0.002,-0.886810954,0.661732123,,,
joel,joel,2,,,,,,1000,0.002,1.402088128,0.153632779,,,
jeevan,jeevan,2,,,,,,1000,0.002,0.201746016,0.200287661,,,
jay,jay,2,,,,,,1000,0.002,1.513522307,0.484153056,,,
janice,janic,2,,,,,,1000,0.002,0.560271053,0.194651091,,,
jammu,jammu,2,,,,,,1000,0.002,0.237565932,0.153211225,,,
jack,jack,2,,,,,,1000,0.002,0.307023694,0.239998544,,,
issuing,issu,2,,,,,,1000,0.002,-0.621333846,-0.332646539,,,
islanders,island,2,,,,,,1000,0.002,-0.276939461,0.324109631,,,
ireland,ireland,2,,,,,,1000,0.002,1.788403875,-0.401800611,,,
interpreter,interpret,2,,,,,,1000,0.002,-0.520902064,0.519812565,,,
interim,interim,2,,,,,,1000,0.002,-0.844880286,-0.093962176,,,
intellectual,intellectu,2,,,,,,1000,0.002,-0.544240301,-0.067131667,,,
installation,instal,2,,,,,,1000,0.002,-0.460719953,-0.473170911,,,
insightful,insight,2,,,,,,1000,0.002,-0.479097214,-0.328868914,,,
insecurities,insecur,2,,,,,,1000,0.002,-0.272332834,0.161936329,,,
inlets,inlet,2,,,,,,1000,0.002,-0.241530617,0.13741817,,,
initiatives,initi,2,,,,,,1000,0.002,-0.774548634,-0.943243079,,,
infielder,infield,2,,,,,,1000,0.002,-0.698243316,1.25067838,,,
indonesia,indonesia,2,,,,,,1000,0.002,1.434992615,-0.184422924,,,
indigenous,indigen,2,,,,,,1000,0.002,-0.289310294,-0.222508745,,,
inclusion,inclus,2,,,,,,1000,0.002,-0.536245131,-0.556497737,,,
imported,import,2,,,,,,1000,0.002,-0.447833197,-0.299769661,,,
imperious,imperi,2,,,,,,1000,0.002,-0.509747999,0.718296922,,,
immigration,immigr,2,,,,,,1000,0.002,-0.390205472,0.431005777,,,
illustrated,illustr,2,,,,,,1000,0.002,-0.541554146,-0.278827811,,,
ian,ian,2,,,,,,1000,0.002,0.446216214,0.207745357,,,
hypocrisy,hypocrisi,2,,,,,,1000,0.002,-0.40508985,0.370524324,,,
hurt,hurt,2,,,,,,1000,0.002,-0.55769598,0.132249218,,,
hurricane,hurrican,2,,,,,,1000,0.002,-0.479980734,0.059840545,,,
humanitarian,humanitarian,2,,,,,,1000,0.002,-0.81600548,0.24917657,,,
houston,houston,2,,,,,,1000,0.002,1.924314846,-0.21288131,,,
honoring,honor,2,,,,,,1000,0.002,-0.758137208,-0.033786653,,,
hong,hong,2,,,,,,1000,0.002,0.838836757,-0.084063293,,,
homeowner,homeown,2,,,,,,1000,0.002,-0.431132268,0.49791333,,,
holocaust,holocaust,2,,,,,,1000,0.002,-0.073491668,0.34754636,,,
ho,ho,2,,,,,,1000,0.002,1.015508117,0.234323135,,,
historically,histor,2,,,,,,1000,0.002,-0.59884547,-0.417245457,,,
hilaire,hilair,2,,,,,,1000,0.002,,,,,
hike,hike,2,,,,,,1000,0.002,-0.533993487,0.066474006,,,
heterogeneous,heterogen,2,,,,,,1000,0.002,-0.334185141,-0.397617801,,,
heroes,hero,2,,,,,,1000,0.002,-0.403035123,0.488081782,,,
headphones,headphon,2,,,,,,1000,0.002,-0.112352904,0.096130782,,,
havasu,havasu,2,,,,,,1000,0.002,,,,,
harris,harri,2,,,,,,1000,0.002,1.640276957,0.12735094,,,
harbor,harbor,2,,,,,,1000,0.002,-0.326430732,0.225762959,,,
haphazard,haphazard,2,,,,,,1000,0.002,-0.59659879,-0.092150476,,,
handful,hand,2,,,,,,1000,0.002,-0.581476536,-0.088812728,,,
hana,hana,2,,,,,,1000,0.002,0.56257714,0.164740501,,,
hammered,hammer,2,,,,,,1000,0.002,-0.526315022,0.113842973,,,
halloween,halloween,2,,,,,,1000,0.002,1.085551724,0.146349366,,,
guptill,guptil,2,,,,,,1000,0.002,,,,,
guardian's,guardian,2,,,,,,1000,0.002,-0.367948038,0.185702403,,,
guarantee,guarante,2,,,,,,1000,0.002,-0.554111713,-0.380315716,,,
grown-up,grown-up,2,,,,,,1000,0.002,-0.097929315,0.351490939,,,
greek,greek,2,,,,,,1000,0.002,0.815853932,0.076829382,,,
granit,granit,2,,,,,,1000,0.002,,,,,
govt,govt,2,,,,,,1000,0.002,0.680682136,-0.400558072,,,
goalkeeper,goalkeep,2,,,,,,1000,0.002,-0.694604106,1.601327751,,,
gig,gig,2,,,,,,1000,0.002,-0.168259872,0.319194563,,,
germany's,germani,2,,,,,,1000,0.002,,,,,
george,georg,2,,,,,,1000,0.002,2.095494514,0.14104465,,,
geological,geolog,2,,,,,,1000,0.002,-0.649973875,0.075469604,,,
genre,genr,2,,,,,,1000,0.002,-0.349931584,0.035094323,,,
gavin,gavin,2,,,,,,1000,0.002,0.592422966,0.289644664,,,
funeral,funer,2,,,,,,1000,0.002,-0.542345955,0.90450889,,,
fuel,fuel,2,,,,,,1000,0.002,-0.646562001,-0.101437158,,,
ftch,ftch,2,,,,,,1000,0.002,,,,,
frayed,fray,2,,,,,,1000,0.002,-0.495501197,0.094502997,,,
frankly,frank,2,,,,,,1000,0.002,-0.224619401,-0.085167536,,,
francisco,francisco,2,,,,,,1000,0.002,0.320810774,-0.022313928,,,
franchise,franchis,2,,,,,,1000,0.002,-0.666352872,-0.245851218,,,
forward-looking,forward-look,2,,,,,,1000,0.002,-0.466993731,-0.603228164,,,
forged,forg,2,,,,,,1000,0.002,-0.676835753,-0.109333606,,,
focuses,focus,2,,,,,,1000,0.002,-0.66446524,-0.953893933,,,
florida,florida,2,,,,,,1000,0.002,2.412044115,-0.466924129,,,
flagging,flag,2,,,,,,1000,0.002,-0.462413464,-0.377610405,,,
fitness,fit,2,,,,,,1000,0.002,-0.554766896,0.096446851,,,
finalists,finalist,2,,,,,,1000,0.002,-0.745135373,0.111141882,,,
filmmaker's,filmmak,2,,,,,,1000,0.002,-0.669804458,0.20765906,,,
fiji,fiji,2,,,,,,1000,0.002,0.57991797,-0.086974471,,,
feagin,feagin,2,,,,,,1000,0.002,,,,,
fc,fc,2,,,,,,1000,0.002,1.366948673,0.147730865,,,
favourites,favourit,2,,,,,,1000,0.002,,,,,
father's,father,2,,,,,,1000,0.002,-0.433952532,0.444808636,,,
fastnet,fastnet,2,,,,,,1000,0.002,,,,,
farms,farm,2,,,,,,1000,0.002,-0.503790855,-0.014907274,,,
farage,farag,2,,,,,,1000,0.002,,,,,
FALSE,fals,2,,,,,,1000,0.002,-0.554208166,0.162228539,,,
factbox,factbox,2,,,,,,1000,0.002,0.001398695,-0.884185733,,,
fabinho,fabinho,2,,,,,,1000,0.002,,,,,
expecting,expect,2,,,,,,1000,0.002,-0.593204522,-0.011345521,,,
exhibited,exhibit,2,,,,,,1000,0.002,-0.610372225,-0.240793964,,,
exhausting,exhaust,2,,,,,,1000,0.002,-0.676740667,0.149479101,,,
